sales_key,order_id,customer_key,customer_id,customer_name,city,product_key,product_name,category,amount,quantity,status,order_date
92,ORD-2026-10092,27,CUST-1027,Enterprise Client 27,Toronto,3,API Gateway Enterprise,Cloud Software,8164.55,1,CANCELLED,2026-07-15 08:41:00
93,ORD-2026-10093,46,CUST-1046,Enterprise Client 46,Berlin,7,BI Analytics Studio,Analytics Suite,9779.29,1,CANCELLED,2026-08-05 14:58:00
94,ORD-2026-10094,22,CUST-1022,Enterprise Client 22,Austin,14,Security Audit Agent,Cybersecurity,9956.1,4,COMPLETED,2026-02-11 15:14:00
95,ORD-2026-10095,32,CUST-1032,Enterprise Client 32,Berlin,11,Model Training Pipeline,AI Infrastructure,27608.02,3,COMPLETED,2026-08-10 09:49:00
96,ORD-2026-10096,29,CUST-1029,Enterprise Client 29,Toronto,5,Storage Array SAN-500,Enterprise Hardware,9645.68,1,COMPLETED,2026-07-28 18:48:00
97,ORD-2026-10097,12,CUST-1012,Enterprise Client 12,Chicago,9,Predictive Engine AI,Analytics Suite,5521.43,1,CANCELLED,2026-07-14 09:30:00
98,ORD-2026-10098,33,CUST-1033,Enterprise Client 33,Seattle,7,BI Analytics Studio,Analytics Suite,21149.2,2,COMPLETED,2026-02-11 15:40:00
99,ORD-2026-10099,37,CUST-1037,Enterprise Client 37,San Francisco,1,DataPulse Suite v4,Cloud Software,53030.0,4,CANCELLED,2026-02-11 12:10:00
100,ORD-2026-10100,8,CUST-1008,Enterprise Client 8,Seattle,2,Cloud Sync Pro,Cloud Software,54176.5,5,PENDING,2026-04-11 14:02:00
101,ORD-2026-10101,16,CUST-1016,Enterprise Client 16,San Francisco,8,Stream Processing Hub,Analytics Suite,26394.78,2,COMPLETED,2026-06-22 16:24:00
102,ORD-2026-10102,22,CUST-1022,Enterprise Client 22,Austin,6,Edge Compute Gateway,Enterprise Hardware,15806.06,3,COMPLETED,2026-05-22 17:16:00
103,ORD-2026-10103,47,CUST-1047,Enterprise Client 47,Seattle,12,LLM Inference Engine,AI Infrastructure,19000.33,2,COMPLETED,2026-04-24 18:38:00
104,ORD-2026-10104,42,CUST-1042,Enterprise Client 42,Austin,11,Model Training Pipeline,AI Infrastructure,31516.22,4,COMPLETED,2026-07-12 08:45:00
105,ORD-2026-10105,49,CUST-1049,Enterprise Client 49,Seattle,9,Predictive Engine AI,Analytics Suite,5831.19,1,COMPLETED,2026-07-10 17:02:00
106,ORD-2026-10106,13,CUST-1013,Enterprise Client 13,Sydney,6,Edge Compute Gateway,Enterprise Hardware,22892.88,4,CANCELLED,2026-04-15 16:29:00
107,ORD-2026-10107,50,CUST-1050,Enterprise Client 50,Austin,12,LLM Inference Engine,AI Infrastructure,40193.87,4,CANCELLED,2026-07-16 15:06:00
108,ORD-2026-10108,22,CUST-1022,Enterprise Client 22,Austin,7,BI Analytics Studio,Analytics Suite,26700.38,3,PENDING,2026-05-22 10:46:00
109,ORD-2026-10109,33,CUST-1033,Enterprise Client 33,Seattle,12,LLM Inference Engine,AI Infrastructure,27893.18,3,COMPLETED,2026-05-04 16:56:00
110,ORD-2026-10110,40,CUST-1040,Enterprise Client 40,London,6,Edge Compute Gateway,Enterprise Hardware,10812.55,2,COMPLETED,2026-05-10 09:26:00
111,ORD-2026-10111,11,CUST-1011,Enterprise Client 11,New York,6,Edge Compute Gateway,Enterprise Hardware,10489.39,2,COMPLETED,2026-01-11 12:18:00
112,ORD-2026-10112,7,CUST-1007,Enterprise Client 7,San Francisco,2,Cloud Sync Pro,Cloud Software,10847.03,1,COMPLETED,2026-02-23 13:02:00
113,ORD-2026-10113,50,CUST-1050,Enterprise Client 50,Austin,11,Model Training Pipeline,AI Infrastructure,18122.79,2,CANCELLED,2026-06-18 16:02:00
114,ORD-2026-10114,7,CUST-1007,Enterprise Client 7,San Francisco,6,Edge Compute Gateway,Enterprise Hardware,19798.81,4,COMPLETED,2026-02-07 10:01:00
115,ORD-2026-10115,50,CUST-1050,Enterprise Client 50,Austin,3,API Gateway Enterprise,Cloud Software,47467.58,5,COMPLETED,2026-08-19 11:23:00
116,ORD-2026-10116,41,CUST-1041,Enterprise Client 41,Seattle,7,BI Analytics Studio,Analytics Suite,37149.82,4,COMPLETED,2026-06-19 11:50:00
117,ORD-2026-10117,50,CUST-1050,Enterprise Client 50,Austin,9,Predictive Engine AI,Analytics Suite,28486.35,5,PENDING,2026-06-29 18:32:00
118,ORD-2026-10118,25,CUST-1025,Enterprise Client 25,Berlin,8,Stream Processing Hub,Analytics Suite,12611.11,1,COMPLETED,2026-06-19 16:14:00
119,ORD-2026-10119,28,CUST-1028,Enterprise Client 28,New York,15,Identity Vault Pro,Cybersecurity,23524.23,4,PENDING,2026-02-18 17:59:00
120,ORD-2026-10120,12,CUST-1012,Enterprise Client 12,Chicago,14,Security Audit Agent,Cybersecurity,10873.9,5,COMPLETED,2026-06-04 11:15:00
121,ORD-2026-10121,12,CUST-1012,Enterprise Client 12,Chicago,9,Predictive Engine AI,Analytics Suite,22984.86,4,COMPLETED,2026-01-20 17:01:00
122,ORD-2026-10122,17,CUST-1017,Enterprise Client 17,San Francisco,14,Security Audit Agent,Cybersecurity,4392.17,2,COMPLETED,2026-07-09 14:15:00
123,ORD-2026-10123,11,CUST-1011,Enterprise Client 11,New York,1,DataPulse Suite v4,Cloud Software,26806.68,2,CANCELLED,2026-05-31 08:20:00
124,ORD-2026-10124,29,CUST-1029,Enterprise Client 29,Toronto,6,Edge Compute Gateway,Enterprise Hardware,17636.87,3,CANCELLED,2026-05-22 08:41:00
125,ORD-2026-10125,8,CUST-1008,Enterprise Client 8,Seattle,15,Identity Vault Pro,Cybersecurity,16697.91,3,COMPLETED,2026-07-09 10:33:00
126,ORD-2026-10126,11,CUST-1011,Enterprise Client 11,New York,7,BI Analytics Studio,Analytics Suite,46999.31,5,CANCELLED,2026-07-26 10:21:00
127,ORD-2026-10127,44,CUST-1044,Enterprise Client 44,Austin,1,DataPulse Suite v4,Cloud Software,25154.37,2,PENDING,2026-01-05 16:33:00
128,ORD-2026-10128,24,CUST-1024,Enterprise Client 24,Toronto,8,Stream Processing Hub,Analytics Suite,51217.5,4,CANCELLED,2026-05-27 18:54:00
129,ORD-2026-10129,30,CUST-1030,Enterprise Client 30,Sydney,13,Zero Trust Shield,Cybersecurity,6899.27,3,COMPLETED,2026-06-14 17:16:00
130,ORD-2026-10130,26,CUST-1026,Enterprise Client 26,Tokyo,7,BI Analytics Studio,Analytics Suite,26612.69,3,COMPLETED,2026-06-02 14:37:00
131,ORD-2026-10131,38,CUST-1038,Enterprise Client 38,Berlin,15,Identity Vault Pro,Cybersecurity,11147.66,2,COMPLETED,2026-04-02 14:36:00
132,ORD-2026-10132,10,CUST-1010,Enterprise Client 10,Austin,14,Security Audit Agent,Cybersecurity,9379.42,4,CANCELLED,2026-06-23 09:08:00
133,ORD-2026-10133,41,CUST-1041,Enterprise Client 41,Seattle,10,GPU Acceleration Node,AI Infrastructure,45499.41,3,COMPLETED,2026-07-24 14:21:00
134,ORD-2026-10134,36,CUST-1036,Enterprise Client 36,Toronto,6,Edge Compute Gateway,Enterprise Hardware,26694.74,5,COMPLETED,2026-03-11 08:24:00
135,ORD-2026-10135,47,CUST-1047,Enterprise Client 47,Seattle,13,Zero Trust Shield,Cybersecurity,2402.27,1,PENDING,2026-01-22 09:28:00
136,ORD-2026-10136,15,CUST-1015,Enterprise Client 15,Sydney,8,Stream Processing Hub,Analytics Suite,40361.49,3,COMPLETED,2026-04-22 15:09:00
137,ORD-2026-10137,50,CUST-1050,Enterprise Client 50,Austin,15,Identity Vault Pro,Cybersecurity,5322.29,1,COMPLETED,2026-05-10 16:15:00
138,ORD-2026-10138,41,CUST-1041,Enterprise Client 41,Seattle,11,Model Training Pipeline,AI Infrastructure,17073.63,2,PENDING,2026-06-27 18:51:00
139,ORD-2026-10139,9,CUST-1009,Enterprise Client 9,Tokyo,11,Model Training Pipeline,AI Infrastructure,18428.85,2,COMPLETED,2026-08-15 09:58:00
140,ORD-2026-10140,14,CUST-1014,Enterprise Client 14,Seattle,7,BI Analytics Studio,Analytics Suite,10008.31,1,COMPLETED,2026-01-29 18:40:00
141,ORD-2026-10141,40,CUST-1040,Enterprise Client 40,London,10,GPU Acceleration Node,AI Infrastructure,82101.87,5,COMPLETED,2026-07-04 11:36:00
142,ORD-2026-10142,33,CUST-1033,Enterprise Client 33,Seattle,10,GPU Acceleration Node,AI Infrastructure,57405.1,4,PENDING,2026-05-14 14:47:00
143,ORD-2026-10143,24,CUST-1024,Enterprise Client 24,Toronto,11,Model Training Pipeline,AI Infrastructure,17724.16,2,COMPLETED,2026-08-09 08:43:00
144,ORD-2026-10144,8,CUST-1008,Enterprise Client 8,Seattle,5,Storage Array SAN-500,Enterprise Hardware,35429.32,4,COMPLETED,2026-07-07 11:59:00
145,ORD-2026-10145,31,CUST-1031,Enterprise Client 31,Berlin,11,Model Training Pipeline,AI Infrastructure,27493.09,3,COMPLETED,2026-02-25 10:18:00
146,ORD-2026-10146,45,CUST-1045,Enterprise Client 45,New York,13,Zero Trust Shield,Cybersecurity,9147.09,4,COMPLETED,2026-05-14 11:33:00
147,ORD-2026-10147,24,CUST-1024,Enterprise Client 24,Toronto,14,Security Audit Agent,Cybersecurity,9157.31,4,COMPLETED,2026-02-15 15:15:00
148,ORD-2026-10148,38,CUST-1038,Enterprise Client 38,Berlin,7,BI Analytics Studio,Analytics Suite,10253.46,1,COMPLETED,2026-08-07 15:55:00
149,ORD-2026-10149,37,CUST-1037,Enterprise Client 37,San Francisco,15,Identity Vault Pro,Cybersecurity,27192.42,5,COMPLETED,2026-02-28 14:16:00
150,ORD-2026-10150,44,CUST-1044,Enterprise Client 44,Austin,8,Stream Processing Hub,Analytics Suite,64125.82,5,COMPLETED,2026-06-24 08:39:00
151,ORD-2026-10151,32,CUST-1032,Enterprise Client 32,Berlin,10,GPU Acceleration Node,AI Infrastructure,55756.82,4,COMPLETED,2026-02-22 10:41:00
152,ORD-2026-10152,11,CUST-1011,Enterprise Client 11,New York,13,Zero Trust Shield,Cybersecurity,7539.68,3,COMPLETED,2026-03-26 11:55:00
153,ORD-2026-10153,45,CUST-1045,Enterprise Client 45,New York,6,Edge Compute Gateway,Enterprise Hardware,28928.04,5,COMPLETED,2026-07-20 17:12:00
154,ORD-2026-10154,15,CUST-1015,Enterprise Client 15,Sydney,10,GPU Acceleration Node,AI Infrastructure,54199.02,4,CANCELLED,2026-02-27 08:48:00
155,ORD-2026-10155,28,CUST-1028,Enterprise Client 28,New York,8,Stream Processing Hub,Analytics Suite,39775.9,3,PENDING,2026-06-15 08:19:00
156,ORD-2026-10156,18,CUST-1018,Enterprise Client 18,Tokyo,12,LLM Inference Engine,AI Infrastructure,18509.06,2,PENDING,2026-04-12 18:32:00
157,ORD-2026-10157,42,CUST-1042,Enterprise Client 42,Austin,4,Quantum Blade Server X1,Enterprise Hardware,13760.64,2,COMPLETED,2026-03-13 14:59:00
158,ORD-2026-10158,26,CUST-1026,Enterprise Client 26,Tokyo,11,Model Training Pipeline,AI Infrastructure,43652.54,5,COMPLETED,2026-07-23 18:24:00
159,ORD-2026-10159,13,CUST-1013,Enterprise Client 13,Sydney,9,Predictive Engine AI,Analytics Suite,5665.88,1,COMPLETED,2026-04-18 12:04:00
160,ORD-2026-10160,22,CUST-1022,Enterprise Client 22,Austin,1,DataPulse Suite v4,Cloud Software,76432.06,5,COMPLETED,2026-06-06 17:04:00
161,ORD-2026-10161,44,CUST-1044,Enterprise Client 44,Austin,2,Cloud Sync Pro,Cloud Software,24673.25,2,COMPLETED,2026-03-08 18:30:00
162,ORD-2026-10162,48,CUST-1048,Enterprise Client 48,Sydney,13,Zero Trust Shield,Cybersecurity,11716.41,5,COMPLETED,2026-04-22 10:07:00
163,ORD-2026-10163,2,CUST-1002,Enterprise Client 2,Seattle,1,DataPulse Suite v4,Cloud Software,67845.96,5,CANCELLED,2026-06-20 15:50:00
164,ORD-2026-10164,18,CUST-1018,Enterprise Client 18,Tokyo,1,DataPulse Suite v4,Cloud Software,45816.79,3,COMPLETED,2026-05-13 13:16:00
165,ORD-2026-10165,13,CUST-1013,Enterprise Client 13,Sydney,4,Quantum Blade Server X1,Enterprise Hardware,37275.98,5,COMPLETED,2026-01-10 10:53:00
166,ORD-2026-10166,5,CUST-1005,Enterprise Client 5,Austin,2,Cloud Sync Pro,Cloud Software,47065.56,4,CANCELLED,2026-05-19 10:36:00
167,ORD-2026-10167,3,CUST-1003,Enterprise Client 3,Seattle,3,API Gateway Enterprise,Cloud Software,47777.27,5,CANCELLED,2026-01-29 12:59:00
